Código CCN;Código CNH;Nombre;Comunidad Autónoma;Provincia;Municipio;Dirección;Código Postal;Teléfono;Número de camas instaladas;Tipo de Centro;Dependencia Funcional;Observaciones;Concierto;Acreditación Docente
1003000229;30089;SANATORIO SAN JORGE S.L.;COMUNIDAD VALENCIANA;ALICANTE;Alcoy/Alcoi;Calle Oliver 55;3802;965330400;26;Hospitales Generales;PRIVADOS;;Sin concierto;NO
1003000135;30067;HOSPITAL VIRGEN DE LOS LIRIOS;COMUNIDAD VALENCIANA;ALICANTE;Alcoy/Alcoi;Calle Caramanxel S/N;3804;965537400;305;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
908005215;81192;CENTRE SOCIOSANITARI CAN TORRAS;CATALUÑA;BARCELONA;Alella;Carretera El Masnou A Alella 1;8328;935551994;119;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
111000286;110259;HOSPITAL PUNTA DE EUROPA;ANDALUCÍA;CÁDIZ;Algeciras;Carretera Getares S/N;11207;956025000;327;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
1003000129;30041;VITHAS HOSPITAL PERPETUO INTERNACIONAL;COMUNIDAD VALENCIANA;ALICANTE;Alicante/Alacant;Plaza Doctor Gomez Ulla 15;3013;965201100;103;Hospitales Generales;PRIVADOS;;Sin concierto;NO
1003000134;30036;CLINICA VISTAHERMOSA GRUPO HLA;COMUNIDAD VALENCIANA;ALICANTE;Alicante/Alacant;Avenida Denia 103;3015;649303489;106;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
1003000220;30015;HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE;COMUNIDAD VALENCIANA;ALICANTE;Alicante/Alacant;Avenida Pintor Baeza 12;3010;965913496;794;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
1003000237;30226;HOSPITAL  MEDIMAR INTERNACIONAL;COMUNIDAD VALENCIANA;ALICANTE;Alicante/Alacant;Avenida Denia 78;3016;600926782;66;Hospitales Generales;PRIVADOS;;Sin concierto;NO
1003000177;30232;HOSPITAL PSIQUIATRICO PENITENCIARIO DE FONTCALENT;COMUNIDAD VALENCIANA;ALICANTE;Alicante/Alacant;Complejo Centro Penitenc. Fontcalen 1;3113;965101230;432;Hospitales de salud mental y tratamiento de toxicomanías;OTROS CENTROS O ESTABLECIMIENTOS PÚBLICOS DE DEPENDENCIA ESTATAL;;Red de utilización pública (RUP);NO
925000587;250210;SANT JOAN DE DEU TERRES DE LLEIDA;CATALUÑA;LLEIDA;Almacelles;Carretera N-240 .;25100;973740010;29;Hospitales de salud mental y tratamiento de toxicomanías;PRIVADOS;;Red de utilización pública (RUP);SI
802000755;20136;HOSPITAL GENERAL DE ALMANSA;CASTILLA-LA MANCHA;ALBACETE;Almansa;Avenida Adolfo Suarez S/N;2640;967339526;93;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
1106000805;60242;HOSPITAL TIERRA DE BARROS;EXTREMADURA;BADAJOZ;Almendralejo;Carretera Nacional 630 0;6200;924699200;50;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
1106000791;60080;HOSPITAL FUNDACION SAN JUAN DE DIOS;EXTREMADURA;BADAJOZ;Almendralejo;Paseo Piedad 5;6200;924670017;105;Hospitales de media y larga estancia;PRIVADOS;;Sin concierto;NO
104000314;40059;HOSPITAL VIRGEN DEL MAR;ANDALUCÍA;ALMERÍA;Almería;Carretera Del Mami, Km. 1 S/N;4120;950210100;76;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
104001001;40127;HOSPITAL DE ALTA RESOLUCION ELTOYO;ANDALUCÍA;ALMERÍA;Almería;Camino De La Botica S/N;4131;950158015;44;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
104000319;40031;HOSPITAL DE  LA CRUZ ROJA DE ALMERIA;ANDALUCÍA;ALMERÍA;Almería;Carretera De Ronda S/N;4009;950017400;76;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
104000316;40010;Hospital Universitario Torrecardenas;ANDALUCÍA;ALMERÍA;Almería;Calle Paraje Torrecardenas S/N;4009;950016114;687;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
104000322;40101;HOSPITAL  MEDITERRANEO;ANDALUCÍA;ALMERÍA;Almería;Calle Nueva Musa 8;4007;950621063;89;Hospitales Generales;PRIVADOS;;Sin concierto;NO
925000583;250175;RESIDENCIA TERRAFERMA;CATALUÑA;LLEIDA;Alpicat;Calle Partida Del Grao S/N;25110;973737455;137;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
1531000740;310142;CLINICA PSICOGERIATRICA JOSEFINA ARREGUI;C. FORAL DE NAVARRA;NAVARRA;Altsasu/Alsasua;Calle Erburu S/N -;31800;948563850;21;Hospitales especializados;PRIVADOS;;Sin concierto;NO
1046000423;460351;HOSPITAL UNIVERSITARIO DE LA RIBERA;COMUNIDAD VALENCIANA;VALENCIA;Alzira;Carretera Corbera 1;46600;962458100;301;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
908005221;81350;CENTRE POLIVALENT CAN FOSC;CATALUÑA;BARCELONA;Ametlla del Vallès, L';Carretera De Llerona S/N;8480;938432786;56;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
943000772;430287;UNITAT POLIVALENT EN SALUT MENTAL D'AMPOSTA;CATALUÑA;TARRAGONA;Amposta;Calle America 15;43870;977338565;127;Hospitales de salud mental y tratamiento de toxicomanías;PRIVADOS;;Red de utilización pública (RUP);NO
943000766;430252;HOSPITAL COMARCAL D'AMPOSTA;CATALUÑA;TARRAGONA;Amposta;Calle Jacint Verdaguer 11;43870;977700050;88;Hospitales Generales;MUNICIPIO;;Red de utilización pública (RUP);NO
123000216;230145;HOSPITAL ALTO GUADALQUIVIR;ANDALUCÍA;JAÉN;Andújar;Avenida Blas Infante S/N;23740;953021575;67;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
129001087;290154;HOSPITAL  DE ANTEQUERA;ANDALUCÍA;MALAGA;Antequera;Avenida Poeta Muã?Oz Rojas S/N;29200;951061008;159;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
709001374;90085;HOSPITAL RESIDENCIA ASISTIDA LA LUZ;CASTILLA Y LEÓN;BURGOS;Aranda de Duero;Calle Duraton 2;9000;947500150;75;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
709001369;90079;HOSPITAL SANTOS REYES;CASTILLA Y LEÓN;BURGOS;Aranda de Duero;Avenida Ruperta Baraya 6;9400;947522000;123;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
1328000084;281292;HOSPITAL DEL TAJO S.A.;MADRID;MADRID;Aranjuez;Avenida Amazonas Central S/N;28300;918014100;98;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;NO
908005226;81616;COMUNITAT TERAPEUTICA ARENYS DE MUNT;CATALUÑA;BARCELONA;Arenys de Munt;Carretera Barri Orient  Can Zariquiey 26;8358;937938006;42;Hospitales de salud mental y tratamiento de toxicomanías;PRIVADOS;;Red de utilización pública (RUP);NO
705001823;50072;HOSPITAL DE SALUD MENTAL CASTA SALUD AREVALO;CASTILLA Y LEÓN;ÁVILA;Arévalo;Paseo San Juan Bosco 2;5200;920301400;80;Hospitales de salud mental y tratamiento de toxicomanías;PRIVADOS;;Sin concierto;NO
1328000085;281281;HOSPITAL UNIVERSITARIO DEL SURESTE - EMPRESA PUBLICA HOSPTIAL DEL SURESTE;MADRID;MADRID;Arganda del Rey;Ronda Del Sur 10;28500;918394000;132;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
908005236;81568;ITA MARESME;CATALUÑA;BARCELONA;Argentona;Calle Baro De Viver 58;8310;937530062;77;Hospitales especializados;PRIVADOS;;Sin concierto;NO
908007674;82213;CENTRE D'HOSPITALITZACIO I HOSPITAL DE DIA TRASTORNS DE LA CONDUCTA;CATALUÑA;BARCELONA;Argentona;Calle Cires S/N;8310;937533006;40;Hospitales de salud mental y tratamiento de toxicomanías;PRIVADOS;;Sin concierto;NO
538002380;380348;HOSPITAL DEL SUR;CANARIAS;SANTA CRUZ DE TENERIFE;Arona;Calle Laderas Del Mojon S/N;38627;922174740;98;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
538000121;380146;HOSPITEN SUR;CANARIAS;SANTA CRUZ DE TENERIFE;Arona;Calle Av. Maritima 8;38660;922750032;242;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
1620000014;200198;HOSPITAL AITA MENNI;PAÍS VASCO;GUIPÚZCOA;Arrasate/Mondragón;Barrio Gesalibar 15;20509;943794411;442;Hospitales de salud mental y tratamiento de toxicomanías;ORGANIZACIONES NO GUBERNAMENTALES;;Concierto parcial;NO
1620000015;200202;HOSPITAL PSIQUIATRICO SAN JUAN DE DIOS;PAÍS VASCO;GUIPÚZCOA;Arrasate/Mondragón;Barrio Gesalibar ( Au/Ba ) 14;20509;943793078;299;Hospitales de salud mental y tratamiento de toxicomanías;ORGANIZACIONES NO GUBERNAMENTALES;;Concierto parcial;NO
1620000007;200185;HOSPITAL ALTO DEBA (ORGANIZACION SANITARIA INTEGRADA ALTO DEBA);PAÍS VASCO;GUIPÚZCOA;Arrasate/Mondragón;Avenida Nafarroa, Avenida/Etorbidea 16;20500;943035300;90;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
535002243;350228;HOSPITAL DOCTOR JOSE MOLINA OROSA;CANARIAS;LAS PALMAS;Arrecife;Calle Carretera Arrecife- Tinajo Km 1300 0;35500;928595102;292;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
705000770;50049;CLINICA SANTA TERESA;CASTILLA Y LEÓN;ÁVILA;Ávila;Avenida Santa Cruz De Tenerife 11;5005;920221450;33;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
705000771;50034;HOSPITAL PROVINCIAL DE AVILA (COMPLEJO ASISTENCIAL DE AVILA);CASTILLA Y LEÓN;ÁVILA;Ávila;Calle Jesus Del Gran Poder 42;5003;920358027;115;Otros Centros con Internamiento;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
705000769;50013;HOSPITAL NUESTRA SEÑORA DE SONSOLES (COMPLEJO ASISTENCIAL DE AVILA);CASTILLA Y LEÓN;ÁVILA;Ávila;Avenida De Juan Carlos I 0;5071;920358027;315;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
333002777;330100;HOSPITAL UNIVERSITARIO SAN AGUSTIN;PPDO. DE ASTURIAS;ASTURIAS;Avilés;Camino De Heros 6;33401;985123000;436;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
333003421;330117;FUNDACION HOSPITAL DE AVILES;PPDO. DE ASTURIAS;ASTURIAS;Avilés;Calle Cabruñana 19;33400;627513515;90;Hospitales especializados;OTROS CENTROS O ESTABLECIMIENTOS PÚBLICOS DE DEPENDENCIA AUTONÓMICA;;Concierto parcial;NO
1106001097;60286;HOSPITAL CLINICA EXTREMEÑA DE SALUD -FASE I-;EXTREMADURA;BADAJOZ;Badajoz;Calle Federico Mayor Zaragoza 0;6006;924245075;20;Hospitales Generales;PRIVADOS;;Sin concierto;NO
1106000803;60220;HOSPITAL PERPETUO SOCORRO;EXTREMADURA;BADAJOZ;Badajoz;Avenida Damian Tellez Lafuente 0;6010;924215060;244;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
1106000332;60021;HOSPITAL UNIVERSITARIO DE BADAJOZ;EXTREMADURA;BADAJOZ;Badajoz;Avenida Elvas 0;6006;924218100;452;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
1106000566;60037;HOSPITAL MATERNO-INFANTIL;EXTREMADURA;BADAJOZ;Badajoz;Calle Violeta 1;6010;924215000;219;Hospitales especializados;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;DC;DC
1106000798;60172;HOSPITAL QUIRONSALUD CLIDEBA;EXTREMADURA;BADAJOZ;Badajoz;Calle Eladio Salinero De Los Santos 6;6011;924229050;73;Hospitales Generales;PRIVADOS;;Concierto parcial;NO
908005173;80333;INSTITUT GUTTMANN;CATALUÑA;BARCELONA;Badalona;Camino Can Ruti S/N;8916;934977700;152;Hospitales especializados;PRIVADOS;;Red de utilización pública (RUP);SI
908005250;81694;INSTITUT CATALA D'ONCOLOGIA - HOSPITAL GERMANS TRIAS I PUJOL;CATALUÑA;BARCELONA;Badalona;Carretera Canyet S/N;8916;934651200;36;Hospitales especializados;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;;Red de utilización pública (RUP);NO
908005214;80689;CENTRE SOCIOSANITARI EL CARME;CATALUÑA;BARCELONA;Badalona;Camino Sant Jeroni De La Murtra, 60;8917;935074710;210;Hospitales de media y larga estancia;MUNICIPIO;;Red de utilización pública (RUP);NO
908005135;80673;HOSPITAL MUNICIPAL DE BADALONA;CATALUÑA;BARCELONA;Badalona;Via Augusta, 9;8911;934648300;140;Hospitales Generales;MUNICIPIO;;Red de utilización pública (RUP);NO
908005205;80667;HOSPITAL UNIVERSITARI GERMANS TRIAS I PUJOL DE BADALONA;CATALUÑA;BARCELONA;Badalona;Calle Canyet S/N;8916;934651200;516;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Red de utilización pública (RUP);SI
925000582;250169;HESTIA BALAGUER.;CATALUÑA;LLEIDA;Balaguer;Calle Gregori Gallego 22-28;25600;973450304;120;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
917000807;170097;CLINICA SALUS INFIRMORUM;CATALUÑA;GIRONA;Banyoles;Paseo Mossen Lluis Constans 130;17820;972570208;100;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
1648000014;480182;HOSPITAL SAN ELOY;PAÍS VASCO;VIZCAYA;Barakaldo;Avenida Avda. Antonio Miranda 5;48902;944006733;128;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
1648000013;480176;HOSPITAL UNIVERSITARIO CRUCES;PAÍS VASCO;VIZCAYA;Barakaldo;Plaza Cruces 12;48903;946006000;912;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
222000003;220054;HOSPITAL DE BARBASTRO;ARAGÓN;HUESCA;Barbastro;Carretera Nacional 240 S/N;22300;974249000;172;Hospitales Generales;SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS;;Sin concierto;SI
908005263;81829;CENTRE FORUM;CATALUÑA;BARCELONA;Barcelona;Calle Llull, 410;8019;932483000;223;Hospitales de media y larga estancia;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;;Red de utilización pública (RUP);SI
908008299;82189;CENTRE SOCIOSANITARI ISABEL ROIG;CATALUÑA;BARCELONA;Barcelona;Calle Fernando Pessoa 47-51;8030;931780667;251;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005280;82156;CLINICA SANT ANTONI;CATALUÑA;BARCELONA;Barcelona;Calle Sant Eloi 6-8;8038;932974010;224;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005298;82145;CENTRE SOCIOSANITARI DEL CENTRE INTEGRAL DE SALUT COTXERES;CATALUÑA;BARCELONA;Barcelona;Avenida Borbo 18-30;8016;932438991;209;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005275;81931;CENTRE SOCIOSANITARI SANT JORDI DE LA VALL D'HEBRON;CATALUÑA;BARCELONA;Barcelona;Paseo Vall D'Hebron 135-141;8035;934280000;57;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005269;81830;CENTRE SOCIOSANITARI BLAUCLINIC DOLORS ALEU;CATALUÑA;BARCELONA;Barcelona;Calle Marques De Santa Anna 9;8023;934343216;174;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005265;81762;HESTIA GRACIA;CATALUÑA;BARCELONA;Barcelona;Calle Secretari Coloma 95;8024;934170400;153;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005259;81740;SAR LA SALUT JOSEP SERVAT;CATALUÑA;BARCELONA;Barcelona;Calle Antequera, 8-18;8024;932857512;56;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005245;81706;CENTRE COLLSEROLA MUTUAL;CATALUÑA;BARCELONA;Barcelona;Paseo Vall D'Hebron, 159;8035;933613900;34;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005234;81496;REGINA SAR;CATALUÑA;BARCELONA;Barcelona;Calle Mare De Deu Del Coll 22;8023;932848635;12;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005225;81379;HOSPITAL SOCIOSANITARI MUTUAM GUELL;CATALUÑA;BARCELONA;Barcelona;Calle Mare De Deu De La Salut 49;8024;932133400;167;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005146;80556;SERVEIS CLINICS, S.A.;CATALUÑA;BARCELONA;Barcelona;Calle Garcia Mariño 4;8022;934174602;50;Hospitales de media y larga estancia;PRIVADOS;;Red de utilización pública (RUP);NO
908005247;81649;HOSPITAL SOCIOSANITARI PERE VIRGILI;CATALUÑA;BARCELONA;Barcelona;Avenida Vallcarca 169-205;8023;932594000;366;Hospitales de media y larga estancia;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;;Red de utilización pública (RUP);NO
908005169;80044;HOSPITAL CLINIC DE BARCELONA, SEU SABINO DE ARANA;CATALUÑA;BARCELONA;Barcelona;Calle Sabino De Arana 1;8028;932275600;130;Hospitales especializados;OTRAS ENTIDADES U ORGANISMOS PÚBLICOS;;Red de utilización pública (RUP);SI
908005162;80348;FUNDACIO PUIGVERT - IUNA;CATALUÑA;BARCELONA;Barcelona;Calle Cartagena . 340;8025;934169700;124;Hospitales especializados;PRIVADOS;;Red de utilización pública (RUP);SI
908005268;80155;CLINICA MC LONDRES;CATALUÑA;BARCELONA;Barcelona;Calle Londres 28-38;8029;934577200;22;Hospitales Generales;MÚTUAS COLABORADORAS CON LA SEGURIDAD SOCIAL;;Sin concierto;NO
908005166;80168;HOSPITAL EGARSAT SANT HONORAT;CATALUÑA;BARCELONA;Barcelona;Avenida Tibidabo 20;8022;932127000;14;Hospitales Generales;MÚTUAS COLABORADORAS CON LA SEGURIDAD SOCIAL;;Sin concierto;NO
908005161;80142;CLINICA MC COPERNIC;CATALUÑA;BARCELONA;Barcelona;Calle Copernic 58;8006;934141992;60;Hospitales Generales;MÚTUAS COLABORADORAS CON LA SEGURIDAD SOCIAL;;Sin concierto;NO
908005159;80116;FREMAP, HOSPITAL DE BARCELONA;CATALUÑA;BARCELONA;Barcelona;Calle Madrazo 8;8006;934169100;62;Hospitales Generales;MÚTUAS COLABORADORAS CON LA SEGURIDAD SOCIAL;;Sin concierto;NO
908005251;81672;HOSPITAL  SANITAS  CIMA;CATALUÑA;BARCELONA;Barcelona;Paseo Manuel Girona 33;8034;935522700;83;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005138;80370;CLINICA CORACHAN;CATALUÑA;BARCELONA;Barcelona;Calle Buigas 19;8017;932545800;162;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005144;80180;HOSPITAL EL PILAR;CATALUÑA;BARCELONA;Barcelona;Calle Balmes 271;8006;932360645;186;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005261;81751;CLINICA CREU BLANCA;CATALUÑA;BARCELONA;Barcelona;Paseo Reina  Elisenda  De  Montcada, 17;8034;932522522;51;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005167;80235;CLINICA SAGRADA FAMILIA;CATALUÑA;BARCELONA;Barcelona;Calle Torras  I  Pujalt 1;8022;932122300;150;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005145;80497;CENTRE HOSPITALARI POLICLINICA BARCELONA;CATALUÑA;BARCELONA;Barcelona;Calle Guillem Tell 4;8006;934161616;28;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005139;80386;CLINICA TRES TORRES;CATALUÑA;BARCELONA;Barcelona;Calle Doctor Roux 76;8017;932041300;64;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005211;80484;HOSPITAL  DE  BARCELONA;CATALUÑA;BARCELONA;Barcelona;Avenida Diagonal . 656;8034;932542400;350;Hospitales Generales;PRIVADOS;;Sin concierto;NO
908005148;80410;CENTRE MEDIC SANT JORDI DE SANT ANDREU;CATALUÑA;BARCELONA;Barcelona;Plaza Estacio 12;8030;933451604;57;Hospitales Generales;PRIVADOS;;Sin concierto;NO
